smiles,log_solubility,mol_weight,logp,tpsa,h_donors,h_acceptors,rotatable_bonds,aromatic_rings
COC=O,1.6678,60.05,-0.21,26.3,0,2,1,0
CC(C)C,0.1533,58.12,1.66,0.0,0,0,0,0
CCCCC,-0.1515,72.15,2.2,0.0,0,0,2,0
C=C(C)CCC,-0.0789,84.16,2.36,0.0,0,0,2,0
CC(C)C(C)C(C)C,-0.9354,114.23,2.93,0.0,0,0,2,0
C=CCCCCCCCC,-1.2789,140.27,3.92,0.0,0,0,7,0
CC(=O)OCC(COC(C)=O)OC(C)=O,1.0968,218.2,0.04,78.9,0,6,5,0
CCCCCCCBr,-0.7563,179.1,3.35,0.0,0,0,5,0
CCOC(=O)CC(=O)OCC,0.9904,160.17,0.5,52.6,0,4,4,0
C/C=C/CC,0.1582,70.14,1.97,0.0,0,0,1,0
ClC=C(Cl)Cl,0.4388,131.39,2.5,0.0,0,0,0,0
CO,2.1468,32.04,-0.39,20.23,1,1,0,0
CCC(C)=O,1.6388,72.11,0.99,17.07,0,1,1,0
CCCCCCO,0.7872,102.18,1.56,20.23,1,1,4,0
CCCCCCl,0.0662,106.6,2.42,0.0,0,0,3,0
C=CC=C,0.4823,54.09,1.36,0.0,0,0,1,0
CCCOC(C)=O,1.0388,102.13,0.96,26.3,0,2,2,0
NC(=O)CCl,1.3775,93.51,-0.29,43.09,1,1,1,0
CCCCCC=O,0.7581,100.16,1.77,17.07,0,1,4,0
CC(C)=CCC/C(C)=C\CO,0.1969,154.25,2.67,20.23,1,1,4,0
CC[N+](=O)[O-],1.2807,75.07,0.28,43.14,0,2,1,0
CCCC(C)(COC(N)=O)COC(N)=O,0.5128,218.25,0.98,104.64,2,4,6,0
CI,0.9033,141.94,1.05,0.0,0,0,0,0
CCCCC(=O)CCCC,0.1388,142.24,2.94,17.07,0,1,6,0
CCC(C)CC,-0.3934,86.18,2.44,0.0,0,0,2,0
N#CCCl,1.3426,75.5,0.75,23.79,0,1,0,0
CCCCCCCCC(=O)OCC,-0.4515,186.29,3.3,26.3,0,2,8,0
CCC(C)Cl,0.4388,92.57,2.02,0.0,0,0,1,0
C#CCCCC,0.2453,82.15,1.81,0.0,0,0,2,0
C#CCCCCCCC,-0.6644,124.23,2.98,0.0,0,0,5,0
CC(C)OC(C)C,0.8549,102.18,1.82,9.23,0,1,2,0
CNN,2.0355,46.07,-0.92,38.05,2,2,0,0
C#CC,1.1888,40.06,0.64,0.0,0,0,0,0
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-0.2618,281.31,2.34,56.79,1,5,7,0
C=CC=O,1.663,56.06,0.37,17.07,0,1,1,0
CCCCl,0.6759,78.54,1.64,0.0,0,0,1,0
CCOC(C)=O,1.3678,88.11,0.57,26.3,0,2,1,0
CCCC(C)(C)C,-0.7225,100.2,2.83,0.0,0,0,1,0
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-0.4979,314.47,4.79,52.6,0,4,15,0
C=CC(=C)C,0.4049,68.12,1.75,0.0,0,0,1,0
C=CC(C)(O)CCC=C(C)C,0.4243,154.25,2.67,20.23,1,1,4,0
OCC(O)C(O)C(O)C(O)CO,1.4162,182.17,-3.59,121.38,6,6,5,0
CCCC(=O)CCC,0.7581,114.19,2.16,17.07,0,1,4,0
CC(=O)C(C)(C)C,1.0388,100.16,1.62,17.07,0,1,0,0
N#CC(Cl)(Cl)Cl,0.3382,144.39,1.88,23.79,0,1,0,0
CCCCCCCCC(C)=O,-0.2096,156.27,3.33,17.07,0,1,7,0
CSC,1.1694,62.14,0.98,0.0,0,1,0,0
CCOC(N)=O,1.7984,89.09,0.1,52.32,1,2,1,0
CC(C)C(O)C(C)C,0.7969,116.2,1.66,20.23,1,1,2,0
CCCCBr,0.2404,137.02,2.18,0.0,0,0,2,0
CC(=O)CC(C)C,1.0291,100.16,1.62,17.07,0,1,2,0
CCS,1.0968,62.14,0.94,0.0,1,1,0,0
ClCC(Cl)Cl,0.6711,133.41,2.03,0.0,0,0,1,0
CCCCCCCCl,-0.5483,134.65,3.2,0.0,0,0,5,0
ClC(Cl)C(Cl)Cl,0.5452,167.85,2.59,0.0,0,0,1,0
CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,1.6402,299.69,2.4,65.07,0,5,8,0
CCCCCCCl,-0.1225,120.62,2.81,0.0,0,0,4,0
CCCCCCCCCCCCCCCCCCCCCCCCCC,-2.6453,366.72,10.39,0.0,0,0,23,0
CC(Cl)Cl,0.763,98.96,1.81,0.0,0,0,0,0
ClC(Cl)(Cl)Cl,0.2694,153.82,2.55,0.0,0,0,0,0
COC(C)(C)C,1.271,88.15,1.43,9.23,0,1,0,0
CCCCCCCCCCCCCCCCO,-1.9998,242.45,5.46,20.23,1,1,14,0
CCC(C)(C)CO,0.8839,102.18,1.41,20.23,1,1,2,0
CCCOC(=O)CCC,0.5404,130.19,1.74,26.3,0,2,4,0
CCCOC=O,1.1501,88.11,0.57,26.3,0,2,3,0
CC(C)CC(C)C,-0.6741,100.2,2.69,0.0,0,0,2,0
CCCCCCCCCC(=O)OCC,-0.5967,200.32,3.69,26.3,0,2,9,0
CCCOCC,1.0678,88.15,1.43,9.23,0,1,3,0
CC(C)O,1.5952,60.1,0.39,20.23,1,1,0,0
ClC(Br)Br,0.4678,208.28,2.3,0.0,0,0,0,0
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-0.2434,330.36,2.12,71.06,0,8,9,0
C/C=C/C=O,1.542,70.09,0.76,17.07,0,1,1,0
CCCCCC(=O)OC,0.4823,130.19,1.74,26.3,0,2,4,0
CCC(=O)OC,1.3194,88.11,0.57,26.3,0,2,1,0
CCCC(=O)OC,0.4582,102.13,0.96,26.3,0,2,2,0
CCCCCC(=O)OCC,0.2501,144.21,2.13,26.3,0,2,5,0
C=CCCCCCC,-0.7612,112.22,3.14,0.0,0,0,5,0
CCCC(O)CC,1.0001,102.18,1.56,20.23,1,1,3,0
CCCCCCCC(C)O,0.0614,144.26,2.73,20.23,1,1,6,0
CCCC(=O)CC,0.9856,100.16,1.77,17.07,0,1,3,0
ClCBr,0.9565,129.38,1.58,0.0,0,0,0,0
CCN(CC)C(=S)SSC(=S)N(CC)CC,-0.9644,296.55,3.62,6.48,0,4,4,0
CCCCCCCCO,0.2307,130.23,2.34,20.23,1,1,6,0
CCSCC,0.7388,90.19,1.76,0.0,0,1,2,0
ClCCCl,0.8743,98.96,1.46,0.0,0,0,1,0
CCC(C)(C)Cl,0.1727,106.6,2.41,0.0,0,0,1,0
ClCCBr,0.7485,143.41,1.62,0.0,0,0,1,0
C=CCCCCCCC,-1.0563,126.24,3.53,0.0,0,0,6,0
CCC(C)(O)CC,1.213,102.18,1.56,20.23,1,1,2,0
CCCCC(C)O,0.9565,102.18,1.56,20.23,1,1,3,0
CCCCCO,1.0968,88.15,1.17,20.23,1,1,3,0
N#CCCCl,1.2468,89.53,1.14,23.79,0,1,1,0
CC(C)C(C)O,1.3001,88.15,1.02,20.23,1,1,1,0
CCCCCCCCCC(=O)OC,-0.8821,186.29,3.3,26.3,0,2,8,0
CC(C)CBr,0.2114,137.02,2.04,0.0,0,0,1,0
CCI,0.613,155.97,1.44,0.0,0,0,0,0
CCCCCCBr,-0.4563,165.07,2.96,0.0,0,0,4,0
CCCC(C)C,-0.4225,86.18,2.44,0.0,0,0,2,0
BrC(Br)Br,0.463,252.73,2.45,0.0,0,0,0,0
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1.2807,257.44,2.16,55.76,1,4,3,0
CC(C)Br,0.6178,122.99,1.79,0.0,0,0,0,0
CC(C)CC(C)(C)C,-0.9063,114.23,3.08,0.0,0,0,1,0
CCC,0.4485,44.1,1.42,0.0,0,0,0,0
C=COCC,0.9759,72.11,1.17,9.23,0,1,2,0
C#CCC,0.7872,54.09,1.03,0.0,0,0,0,0
CCCCC(C)(O)CC,0.613,130.23,2.34,20.23,1,1,4,0
CC#N,1.513,41.05,0.53,23.79,0,1,0,0
ClCC(Cl)(Cl)Cl,0.3324,167.85,2.6,0.0,0,0,0,0
CCCCO,1.3872,74.12,0.78,20.23,1,1,2,0
CC(C)CCO,1.1404,88.15,1.02,20.23,1,1,2,0
C=C(C)C,0.2598,56.11,1.58,0.0,0,0,0,0
C=C(C)C(=C)C,0.2259,82.15,2.14,0.0,0,0,1,0
CCCI,0.2791,169.99,1.83,0.0,0,0,1,0
CCCO,1.6872,60.1,0.39,20.23,1,1,1,0
CCCC(C)O,1.2468,88.15,1.17,20.23,1,1,2,0
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-0.9934,260.76,4.76,0.0,0,0,1,0
CCC(C)CCO,1.0436,102.18,1.41,20.23,1,1,3,0
CCCCI,-0.0451,184.02,2.22,0.0,0,0,2,0
CCCCCCCC(=O)OCC,-0.2531,172.27,2.91,26.3,0,2,7,0
CCSSCC,0.2162,122.26,2.41,0.0,0,2,3,0
CCOCCOCC,1.0146,118.18,1.06,18.46,0,2,5,0
C=CCCCCC,-0.4176,98.19,2.75,0.0,0,0,4,0
CCCCN(CC)C(=O)SCCC,-0.3209,203.35,3.37,20.31,0,2,6,0
CCCCOC=O,0.7243,102.13,0.96,26.3,0,2,4,0
ClC(Cl)Br,0.642,163.83,2.14,0.0,0,0,0,0
CBr,1.0049,94.94,1.01,0.0,0,0,0,0
C=CC(C)C,0.0662,70.13,1.83,0.0,0,0,1,0
CC,0.7291,30.07,1.03,0.0,0,0,0,0
CC(N)=O,2.1517,59.07,-0.51,43.09,1,1,0,0
CC(O)C(C)(C)C,1.0872,102.18,1.41,20.23,1,1,0,0
CCCC(=O)OCC,0.7291,116.16,1.35,26.3,0,2,3,0
CCCCCCCCCO,-0.0693,144.26,2.73,20.23,1,1,7,0
BrCBr,0.821,173.83,1.73,0.0,0,0,0,0
CCSC(=O)N(CC(C)C)CC(C)C,-0.3934,217.38,3.47,20.31,0,2,5,0
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0.313,227.08,-1.02,157.11,0,9,8,0
CCCCCl,0.4049,92.57,2.03,0.0,0,0,2,0
CCNC(=S)NCC,0.6807,132.23,0.49,24.06,2,1,2,0
CCCCC(=O)OC,0.7388,116.16,1.35,26.3,0,2,3,0
CCCCCOC(=O)CC,0.7678,144.21,2.13,26.3,0,2,5,0
CCBr,0.8598,108.97,1.4,0.0,0,0,0,0
CCC#CCC,0.4243,82.15,1.81,0.0,0,0,0,0
C=C(C)CC,0.0662,70.13,1.97,0.0,0,0,1,0
CCOC(C)OCC,1.1791,118.18,1.41,18.46,0,2,4,0
CCCCOCCO,1.1839,118.18,0.8,29.46,1,2,5,0
ClCCCCl,0.6033,112.99,1.85,0.0,0,0,2,0
CC(C)C(C)C,-0.3789,86.18,2.3,0.0,0,0,1,0
C=CCC,0.4485,56.11,1.58,0.0,0,0,1,0
FC(F)(Cl)C(F)(Cl)Cl,-0.0838,187.38,2.92,0.0,0,0,1,0
CCC#N,1.5226,55.08,0.92,23.79,0,1,0,0
OCC(O)CO,1.9291,92.09,-1.67,60.69,3,3,2,0
CCCCOC,0.9081,88.15,1.43,9.23,0,1,3,0
CC(=O)N(C)C,1.9242,87.12,0.09,20.31,0,1,0,0
C=C,1.1936,28.05,0.8,0.0,0,0,0,0
CC(C)(C)CCO,1.1452,102.18,1.41,20.23,1,1,1,0
CC(C)SC(C)C,0.3033,118.24,2.54,0.0,0,1,2,0
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-1.2934,384.49,5.01,36.92,0,8,12,0
CCCC(C)(C)CO,0.6517,116.2,1.81,20.23,1,1,3,0
CCCOC,1.1985,74.12,1.04,9.23,0,1,2,0
CC(=O)OC(C)C,1.121,102.13,0.96,26.3,0,2,1,0
C=CCl,0.5404,62.5,1.37,0.0,0,0,0,0
BrC(Br)(Br)Br,-0.1322,331.63,3.18,0.0,0,0,0,0
CCCCCCCCC,-1.4579,128.26,3.76,0.0,0,0,6,0
CCCCCC(C)C,-1.0708,114.23,3.22,0.0,0,0,4,0
CCC(O)C(C)C,1.0485,102.18,1.41,20.23,1,1,2,0
CCCCCCC,-0.8047,100.2,2.98,0.0,0,0,4,0
CCCCCC(C)=O,0.6856,114.19,2.16,17.07,0,1,4,0
COP(=O)(NC(C)=O)SC,1.6484,183.17,1.24,55.4,1,4,3,0
CCCCSP(=O)(SCCCC)SCCCC,-1.0999,314.52,6.69,17.07,0,4,12,0
CC=C(C)C,0.1485,70.13,1.97,0.0,0,0,0,0
CCCC(C)(O)CC,0.913,116.2,1.95,20.23,1,1,3,0
CCCCCCCC,-1.1483,114.23,3.37,0.0,0,0,5,0
CCC=O,1.6678,58.08,0.6,17.07,0,1,1,0
ClC(Cl)Cl,0.821,119.38,1.99,0.0,0,0,0,0
CCCCC(C=O)CC,0.3565,128.21,2.4,17.07,0,1,5,0
CCC(C=O)CC,0.6517,100.16,1.62,17.07,0,1,3,0
CCCOCCC,0.6033,102.18,1.82,9.23,0,1,4,0
CCCCCCCCCCCCCCO,-1.4386,214.39,4.68,20.23,1,1,12,0
NC(N)=O,1.8517,60.06,-0.98,69.11,2,1,0,0
C#CCCC,0.5936,68.12,1.42,0.0,0,0,1,0
CCCCCCCCCCCCCCCCCCO,-2.6772,270.5,6.24,20.23,1,1,16,0
CC(C)CCOC=O,0.6517,116.16,1.21,26.3,0,2,4,0
CCOP(=O)(OCC)OCC,1.5952,182.16,2.2,44.76,0,4,6,0
CC(C)[N+](=O)[O-],1.0872,89.09,0.67,43.14,0,2,1,0
OCC(O)C(O)CO,1.7259,122.12,-2.31,80.92,4,4,3,0
CNC(=O)C=C(C)OP(=O)(OC)OC,1.7022,223.16,1.05,73.86,1,5,5,0
CCC(C)C(C)C,-0.6838,100.2,2.69,0.0,0,0,2,0
C#CCCCCC,-0.0693,96.17,2.2,0.0,0,0,3,0
CC(C)CCl,0.4194,92.57,1.88,0.0,0,0,1,0
CCCCCCCCCCCC(=O)OC,-0.8821,214.35,4.08,26.3,0,2,10,0
CCCSCCC,0.1388,118.24,2.54,0.0,0,1,4,0
CCCCCBr,-0.1031,151.05,2.57,0.0,0,0,3,0
C/C=C/CCCC,-0.4612,98.19,2.75,0.0,0,0,3,0
CC(Cl)(Cl)Cl,0.4194,133.41,2.38,0.0,0,0,0,0
CCOCC,1.3436,74.12,1.04,9.23,0,1,2,0
COCOC,1.6194,76.09,0.24,18.46,0,2,2,0
CCC(C)O,1.6146,74.12,0.78,20.23,1,1,1,0
C=CCSS(=O)CC=C,0.9856,162.28,1.76,17.07,0,2,5,0
CC(C)COC=O,0.8985,102.13,0.82,26.3,0,2,3,0
CCCCCC,-0.4709,86.18,2.59,0.0,0,0,3,0
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,0.284,380.78,3.65,44.76,0,4,5,0
CC(C)CC(C)(C)O,0.942,116.2,1.8,20.23,1,1,2,0
CCC(C)(C)C,-0.3305,86.18,2.44,0.0,0,0,0,0
C=CCC=C,0.3759,68.12,1.75,0.0,0,0,2,0
CCCCCC(O)CC,0.4291,130.23,2.34,20.23,1,1,5,0
CCCC(C)CO,0.8501,102.18,1.41,20.23,1,1,3,0
CCCCC(C)(C)O,0.8646,116.2,1.95,20.23,1,1,3,0
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-1.1241,310.48,5.06,35.53,0,3,10,0
CCOC(=O)CC,1.0678,102.13,0.96,26.3,0,2,2,0
N#CN=C(N)N,1.2372,84.08,-1.26,88.19,2,2,0,0
O=[N+]([O-])C(Cl)(Cl)Cl,0.4194,164.38,1.59,43.14,0,2,0,0
CCCCCCC(=O)OCC,0.0614,158.24,2.52,26.3,0,2,6,0
COC(C)=O,1.6097,74.08,0.18,26.3,0,2,0,0
C=CC(O)CCC,1.1017,100.16,1.33,20.23,1,1,3,0
CCCCOCCCC,0.492,130.23,2.6,9.23,0,1,6,0
CCCCCCCCCCCCO,-0.9354,186.34,3.9,20.23,1,1,10,0
CCCC(C)(C)O,1.1501,102.18,1.56,20.23,1,1,2,0
CCCCCC(C)(C)O,0.5549,130.23,2.34,20.23,1,1,4,0
C,0.9517,16.04,0.64,0.0,0,0,0,0
CCC(C)C(C)=O,1.063,100.16,1.62,17.07,0,1,2,0
C[N+](=O)[O-],1.513,61.04,-0.11,43.14,0,2,0,0
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-0.9741,304.67,4.84,20.31,0,2,4,0
C=CCCC=C,0.0904,82.15,2.14,0.0,0,0,3,0
C=CCCCC,-0.1757,84.16,2.36,0.0,0,0,3,0
CCCCCCCC(C)=O,0.1388,142.24,2.94,17.07,0,1,6,0
C#C,1.5275,26.04,0.25,0.0,0,0,0,0
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,0.1688,329.38,2.63,65.07,0,7,8,0
CC(Cl)CCl,0.613,112.99,1.85,0.0,0,0,1,0
CCCC=C(C=O)CC,0.1969,126.2,2.32,17.07,0,1,4,0
CCOP(=S)(OCC)SCCSCC,-0.6596,274.41,3.77,18.46,0,5,9,0
CCCCCCCCCCCCCCCO,-1.6853,228.42,5.07,20.23,1,1,13,0
CC(C)I,0.3759,169.99,1.83,0.0,0,0,0,0
CC(=O)C(C)C,1.3291,86.13,1.23,17.07,0,1,1,0
CCCCCCCCCCCCCCCC,-2.6772,226.45,6.49,0.0,0,0,13,0
CCCCCCC(C)=O,0.3953,128.22,2.55,17.07,0,1,5,0
CCCCCCCCC(=O)OC,-0.2483,172.27,2.91,26.3,0,2,7,0
CCO,1.9194,46.07,-0.0,20.23,1,1,0,0
CCCCCCCCBr,-1.0612,193.13,3.74,0.0,0,0,6,0
CCC(O)CC,1.271,88.15,1.17,20.23,1,1,2,0
CC(C)CCCO,0.8356,102.18,1.41,20.23,1,1,3,0
CCC(C)(C)O,1.4597,88.15,1.17,20.23,1,1,1,0
CCOC=O,1.4597,74.08,0.18,26.3,0,2,2,0
CCCCS,0.3324,90.19,1.72,0.0,1,1,2,0
ClC(Cl)=C(Cl)Cl,0.1582,165.83,3.07,0.0,0,0,0,0
CCC(=O)CC,1.2517,86.13,1.38,17.07,0,1,2,0
C=CC#N,1.4597,53.06,0.7,23.79,0,1,0,0
CCCCC(C)=O,1.0001,100.16,1.77,17.07,0,1,3,0
CCCCC(C)CC,-1.1095,114.23,3.22,0.0,0,0,4,0
BrCCBr,0.5743,187.86,1.78,0.0,0,0,1,0
C=CC(=O)OC,1.2807,86.09,0.35,26.3,0,2,1,0
CCC(O)(CC)CC,0.9759,116.2,1.95,20.23,1,1,3,0
CC(C)C(=O)C(C)C,0.7581,114.19,1.87,17.07,0,1,2,0
CSSC,0.6904,94.2,1.63,0.0,0,2,1,0
CCCCC(O)CC,0.6759,116.2,1.95,20.23,1,1,4,0
CCCCC(CC)CO,0.3662,130.23,2.2,20.23,1,1,5,0
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-0.6867,270.23,4.28,20.31,0,2,4,0
CN(C)C(=S)SSC(=S)N(C)C,-0.4999,240.44,2.06,6.48,0,4,0,0
CCCCCCCCCCO,-0.3692,158.28,3.12,20.23,1,1,8,0
CCC(C)(C)CC,-0.6596,100.2,2.83,0.0,0,0,2,0
CNC(=O)C(C)SCCSP(=O)(OC)OC,1.9407,287.34,1.99,64.63,1,6,8,0
CCCC=O,1.3823,72.11,0.99,17.07,0,1,2,0
CCCC,0.1436,58.12,1.81,0.0,0,0,1,0
ClC(Cl)C(Cl)(Cl)Cl,0.1291,202.3,3.16,0.0,0,0,0,0
CC(C)CO,1.4355,74.12,0.63,20.23,1,1,1,0
ICI,0.2549,267.83,1.81,0.0,0,0,0,0
CCCC(O)CCC,0.7098,116.2,1.95,20.23,1,1,4,0
CCCCCOC(C)=O,0.4727,130.19,1.74,26.3,0,2,4,0
FC(F)(Cl)C(F)(F)Cl,0.0614,170.92,2.65,0.0,0,0,1,0
CC=CC=O,1.542,70.09,0.76,17.07,0,1,1,0
CN(C)C(=O)N(C)C,1.842,116.16,0.23,23.55,0,1,0,0
C=C(Cl)CSC(=S)N(CC)CC,-0.2531,223.79,3.1,3.24,0,2,4,0
CCCl,0.8743,64.52,1.25,0.0,0,0,0,0
C/C=C\CC,0.1582,70.14,1.97,0.0,0,0,1,0
CNC(=O)ON=C(CSC)C(C)(C)C,0.6033,218.32,2.11,50.69,1,4,3,0
CCCCCCCCCCCCCCCCCCCC,-2.5669,282.56,8.05,0.0,0,0,17,0
CCC(CC)CO,0.821,102.18,1.41,20.23,1,1,3,0
Cl/C=C\Cl,0.7581,96.94,1.94,0.0,0,0,0,0
CC(C)CC(C)O,1.0001,102.18,1.41,20.23,1,1,2,0
CC(C)(C)CO,1.1936,88.15,1.02,20.23,1,1,0,0
C=CC,0.8646,42.08,1.19,0.0,0,0,0,0
CCCCCCC(C)O,0.3759,130.23,2.34,20.23,1,1,5,0
CC(=O)OCC(C)C,0.8017,116.16,1.21,26.3,0,2,2,0
CC(C)C(C)(C)C,-0.7225,100.2,2.69,0.0,0,0,0,0
FC(F)(F)C(Cl)Br,0.5598,197.38,2.51,0.0,0,0,0,0
CNC(=O)ON=C(SC)C(=O)N(C)C,1.4384,219.27,0.11,71.0,1,5,1,0
CCSCCSP(=S)(OC)OC,-0.1084,246.36,2.99,18.46,0,5,7,0
CCC(C)C,-0.1515,72.15,2.05,0.0,0,0,1,0
N#Cc1ccccc1,0.9033,103.12,1.56,23.79,0,1,0,1
CCOc1ccc(NC(C)=O)cc1,0.2501,179.22,2.04,38.33,1,2,3,1
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-1.2595,322.24,2.95,115.54,1,6,5,1
CCc1ccc(CC)cc1,-0.4273,134.22,2.81,0.0,0,0,2,1
CN(C)C(=O)SCCCCOc1ccccc1,-0.5129,253.37,3.26,29.54,0,3,6,1
CC(=O)Nc1ccc(Br)cc1,-0.1046,214.06,2.41,29.1,1,1,1,1
Cc1ccccc1O,1.0872,108.14,1.7,20.23,1,1,0,1
Nc1ccc(O)cc1,1.0001,109.13,0.97,46.25,2,2,0,1
Cc1ccc(C)cc1,0.0469,106.17,2.3,0.0,0,0,0,1
CCc1ccccc1CC,-0.1999,134.22,2.81,0.0,0,0,2,1
O=[N+]([O-])c1cccc(Cl)c1Cl,-0.2967,192.0,2.9,43.14,0,2,1,1
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-1.3418,265.91,4.04,47.58,0,2,0,1
CC(C)c1ccccc1,-0.1951,120.19,2.81,0.0,0,0,1,1
O=[N+]([O-])c1ccccc1O,0.5452,139.11,1.3,63.37,1,3,1,1
N#Cc1cc(I)c(O)c(I)c1,-0.3596,370.91,2.47,44.02,1,2,0,1
Oc1ccccc1,1.3872,94.11,1.39,20.23,1,1,0,1
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-0.7573,367.86,4.33,38.77,0,5,7,1
CCCCCCc1ccccc1,-1.1337,162.28,3.81,0.0,0,0,5,1
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-1.3466,250.34,4.95,0.0,0,0,0,1
O=[N+]([O-])c1cccc(O)c1,0.8985,139.11,1.3,63.37,1,3,1,1
CCSCc1ccccc1OC(=O)NC,0.3759,225.31,2.66,38.33,1,3,4,1
CC(C)(C)c1ccc(O)cc1,0.2211,150.22,2.69,20.23,1,1,0,1
Clc1cccc(I)c1,-0.3305,238.45,2.94,0.0,0,0,0,1
Cc1cccc(C)c1,0.0227,106.17,2.3,0.0,0,0,0,1
Oc1cccc(O)c1,1.7791,110.11,1.1,40.46,2,2,0,1
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-1.816,413.0,4.49,27.69,0,4,4,1
Cc1ccc(Cl)cc1,-0.1031,126.59,2.65,0.0,0,0,0,1
CCCCOC(=O)c1ccc(N)cc1,-0.1041,193.25,2.23,52.32,1,3,4,1
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-1.576,333.27,3.92,89.52,0,5,6,1
Clc1ccc(Cl)c(Cl)c1Cl,-0.8241,215.89,4.3,0.0,0,0,0,1
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-1.396,333.6,5.39,18.46,0,3,5,1
Clc1cc(Cl)c(Cl)c(Cl)c1,-0.8531,215.89,4.3,0.0,0,0,0,1
Nc1ccccc1O,1.0388,109.13,0.97,46.25,2,2,0,1
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,0.6125,279.34,1.84,55.84,0,4,5,1
CNC(=O)Oc1ccccc1OC(C)C,0.3953,209.24,2.19,47.56,1,3,3,1
Cc1ccccc1Cl,-0.316,126.59,2.65,0.0,0,0,0,1
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-0.9654,298.3,3.23,63.84,0,6,7,1
Fc1ccccc1,0.5162,96.1,1.83,0.0,0,0,0,1
Cc1cc(C)c(C)c(C)c1C,-0.5483,148.25,3.23,0.0,0,0,0,1
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-1.3882,342.88,5.42,18.46,0,5,8,1
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.0227,182.13,1.81,86.28,0,4,2,1
