smiles,toxic,active_assays_count,total_tested_assays,mol_weight,logp,tpsa,h_donors,h_acceptors,rotatable_bonds,aromatic_rings
NCCNCCNCCN,0,0,11,146.24,-1.92,76.1,4,4,7,0
CCCCCNCCCCC,0,0,12,157.3,2.96,12.03,1,1,8,0
COCC(C)O,1,1,12,90.12,0.01,29.46,1,2,2,0
NCC(=O)CCC(=O)O,0,0,1,131.13,-0.62,80.39,2,3,4,0
ClCOCCl,1,1,12,114.96,1.4,9.23,0,1,2,0
CC(O)CNCC(C)O,0,0,12,133.19,-0.66,52.49,3,3,4,0
[Cu][I],1,1,10,190.45,0.88,0.0,0,0,0,0
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0,0,12,293.45,3.87,66.43,0,4,11,0
O=C(O)CCCCCCCCC(=O)O,0,0,12,202.25,2.28,74.6,2,2,9,0
CCCCCCCC(=O)OC,0,0,12,158.24,2.52,26.3,0,2,6,0
CC(O)COCC(C)O,0,0,12,134.18,-0.24,49.69,2,3,4,0
CO[Si](C)(C)OC,0,0,12,120.22,0.98,18.46,0,2,2,0
CCCCCCCCCC=O,0,0,10,156.27,3.33,17.07,0,1,8,0
BrCBr,0,0,12,173.83,1.73,0.0,0,0,0,0
CCCCCCCCCC(=O)O,0,0,11,172.27,3.21,37.3,1,1,8,0
O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],0,0,12,256.4,-5.81,321.4,0,6,0,0
CCCCCCCCCOS(=O)(=O)[O-],1,1,12,223.31,2.21,66.43,0,4,9,0
CCC(Cl)CCl,0,0,12,127.01,2.24,0.0,0,0,2,0
C=CC(=O)OCCOC(=O)C=C,1,5,9,170.16,0.44,52.6,0,4,5,0
CCCC[P+](CCCC)(CCCC)CCCC,0,0,11,259.44,6.2,0.0,0,0,12,0
CCCCCCCCNC,0,0,12,143.27,2.57,12.03,1,1,7,0
C=CC(=C)C,0,0,7,68.12,1.75,0.0,0,0,1,0
CC(C)O,0,0,9,60.1,0.39,20.23,1,1,0,0
CCCC(CCC)C(=O)[O-],0,0,11,143.21,0.95,40.13,0,2,5,0
CC(C)C[P+](C)(CC(C)C)CC(C)C,0,0,12,217.36,4.6,0.0,0,0,6,0
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,1,2,3,483.87,12.45,0.0,0,0,28,0
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,1,1,11,430.91,4.68,44.76,0,4,12,0
CC(C)CNCC(C)C,0,0,12,129.25,1.89,12.03,1,1,4,0
NC(=S)NNC(N)=S,0,0,12,150.23,-1.43,76.1,4,2,0,0
NC(=S)C(N)=S,0,0,11,120.2,-0.44,52.04,2,2,0,0
[CH3][Hg][Cl],1,4,8,251.08,1.27,0.0,0,0,0,0
[Hg+2],1,6,7,200.59,-0.0,0.0,0,0,0,0
CCCCCCCCCCCCNC(=N)N,0,0,10,227.4,3.39,61.9,3,1,11,0
CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,1,1,8,408.77,6.74,6.48,0,4,12,0
CNC(=O)/C=C(\C)OP(=O)(OC)OC,0,0,12,223.16,1.05,73.86,1,5,5,0
CC=CC(=O)CC,0,0,12,98.14,1.54,17.07,0,1,2,0
[O]=[Cr](=[O])([O-])[O][Cr](=[O])(=[O])[O-],1,2,8,215.98,-2.93,123.63,0,7,2,0
O=P(Cl)(Cl)Cl,0,0,12,153.33,2.81,17.07,0,1,0,0
CC(N)CN,0,0,11,74.13,-0.71,52.04,2,2,1,0
CCC(C)O,0,0,11,74.12,0.78,20.23,1,1,1,0
CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC,0,0,1,508.8,4.26,167.58,10,4,19,0
CC(O)CN,0,0,12,75.11,-0.67,46.25,2,2,1,0
COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-],0,0,12,233.23,-1.64,145.87,3,5,6,0
CC(=O)[O][Cr]([OH])[O]C(C)=O.CC(=O)[O][Cr]([OH])[O]C(C)=O.CC(=O)[O][Cr]([O]C(C)=O)[O]C(C)=O,0,0,11,603.31,-1.02,224.56,2,16,7,0
C=C(C)C(=O)OCCNC(C)(C)C,0,0,12,185.27,1.49,38.33,1,3,4,0
O=C(O)[C@@H](S)[C@H](S)C(=O)O,1,1,9,182.22,-0.25,74.6,4,4,3,0
O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1,1,10,488.67,1.43,105.2,4,12,16,0
CC(C)(N)CO,0,0,11,89.14,-0.28,46.25,2,2,1,0
CC(C)(CO)CO,1,1,12,104.15,-0.0,40.46,2,2,2,0
O=[N+]([O-])C(CO)(CO)CO,1,1,12,151.12,-2.02,103.83,3,5,4,0
OCC(CO)(CO)COCC(CO)(CO)CO,0,0,11,254.28,-3.07,130.61,6,7,10,0
O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-],0,0,12,284.18,-1.09,160.35,0,10,12,0
NC(CO)(CO)CO,0,0,12,121.14,-2.34,86.71,4,4,3,0
CO[Si](CCCS)(OC)OC,0,0,11,196.34,1.18,27.69,1,4,6,0
C[N+](C)=CCl,0,0,12,92.55,0.53,3.01,0,0,0,0
COC(=O)CCC(=O)O,0,0,12,132.12,0.02,63.6,1,3,3,0
[O]=[Zr]([Cl])[Cl],0,0,11,178.13,1.26,17.07,0,1,0,0
CN(C)C(=N)NC(=N)N,0,0,11,129.17,-1.03,88.99,4,2,0,0
CCC[CH2][Sn]([CH2]CCC)([O]C(C)=O)[O]C(C)=O,1,3,5,351.03,3.16,52.6,0,4,8,0
CC(C)=CCC[C@H](C)CCO,0,0,12,156.27,2.75,20.23,1,1,5,0
CC(C)CC(O)CC(C)C,0,0,12,144.26,2.44,20.23,1,1,4,0
C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C,0,0,12,322.25,1.36,108.36,1,7,10,0
CC(C)OS(C)(=O)=O,0,0,10,138.19,0.37,43.37,0,3,2,0
C=C(C)OC(C)=O,0,0,12,100.12,1.08,26.3,0,2,1,0
CC(O)C#CC(C)O,1,1,6,114.14,-0.25,40.46,2,2,0,0
CCCCOCCO,0,0,12,118.18,0.8,29.46,1,2,5,0
CCCN(CCC)C(=O)SCC,0,0,12,189.32,2.98,20.31,0,2,5,0
N#CCCC#N,0,0,12,80.09,0.81,47.58,0,2,1,0
CC(Cl)(Cl)C(=O)O,0,0,12,142.97,1.26,37.3,1,1,1,0
O=C(CCl)CCl,1,4,8,126.97,1.03,17.07,0,1,2,0
CC(=O)C(Cl)Cl,0,0,12,126.97,1.38,17.07,0,1,1,0
CCCCOCCOCCOCCO,1,1,12,206.28,0.83,47.92,1,4,11,0
CCCCCCCC/C=C/C(=O)[O-].CCCCCCCC/C=C/C(=O)[O-],0,0,2,366.54,4.09,80.26,0,4,16,0
CCOC(=O)CC(=O)OCC,0,0,11,160.17,0.5,52.6,0,4,4,0
CCCCCCCCCO,0,0,12,144.26,2.73,20.23,1,1,7,0
CCCCCCNCCCCCC,0,0,12,185.35,3.74,12.03,1,1,10,0
ClCCCCl,0,0,12,112.99,1.85,0.0,0,0,2,0
CCCCCCOC(C)=O,0,0,12,144.21,2.13,26.3,0,2,5,0
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,0,0,11,426.68,7.63,52.6,0,4,21,0
CCOC(C)=O,0,0,11,88.11,0.57,26.3,0,2,1,0
NCCNCCN,1,2,12,103.17,-1.51,64.07,3,3,4,0
CCOP(=O)(CC)OCC,0,0,11,166.16,2.27,35.53,0,3,5,0
NC(=O)CCCCC(N)=O,0,0,12,144.17,-0.48,86.18,2,2,5,0
CNC(=O)ON=CC(C)(C)SC,0,0,12,190.27,1.47,50.69,1,4,3,0
NN,1,1,12,32.05,-1.18,52.04,2,2,0,0
COC(C)(C)C,0,0,12,88.15,1.43,9.23,0,1,0,0
COC(N)=O,0,0,12,75.07,-0.29,52.32,1,2,0,0
COC(=O)NN,0,0,10,90.08,-0.78,64.35,2,3,0,0
CCCCCCCCCCCCCCCCCCOCC(O)CO,1,1,9,344.58,5.62,49.69,2,3,20,0
CSCCC=O,0,0,12,104.17,0.94,17.07,0,2,3,0
CC(C)(C)C(=O)Cl,0,0,12,120.58,1.8,17.07,0,1,0,0
CCCCC(CC)COC(=O)Cl,0,0,12,192.69,3.58,26.3,0,2,6,0
CCCCC(CC)C(=O)[O-],0,0,12,143.21,0.95,40.13,0,2,5,0
C/C=C/C=C/C(=O)[O-],0,0,12,111.12,-0.13,40.13,0,2,2,0
CCCCCC=CCC(=O)OC,0,0,12,170.25,2.69,26.3,0,2,6,0
CCCCCCCCC(=O)OCC,0,0,12,186.29,3.3,26.3,0,2,8,0
CCCCCCCC#N,0,0,11,125.22,2.87,23.79,0,1,5,0
CCCCCCCCCCCCCC(=O)OCC,0,0,12,256.43,5.25,26.3,0,2,13,0
CCCCCCC(O)CCOC(C)=O,0,0,12,202.29,2.27,46.53,1,3,8,0
C=CCCCCCCCCO,0,0,12,156.27,2.9,20.23,1,1,8,0
CCCCCCCCCCCCCCCCN,0,0,2,241.46,5.43,26.02,1,1,14,0
CNC(=O)NC(O)C(Cl)(Cl)Cl,0,0,11,221.47,0.6,61.36,3,2,1,0
CCCCCCC/C=C/C=O,0,0,9,154.25,3.1,17.07,0,1,7,0
CC/C=C\CC/C=C/C(OCC)OCC,1,1,10,212.33,3.69,18.46,0,2,9,0
C[C@@H](O)C(=O)O,1,1,12,90.08,-0.55,57.53,2,2,1,0
CCCCOCCOCCSC#N,0,0,12,203.31,2.03,42.25,0,4,9,0
BrCCCBr,0,0,12,201.89,2.17,0.0,0,0,2,0
CCCCCCCCCCCCCOS(=O)(=O)[O-],0,0,9,279.42,3.77,66.43,0,4,13,0
O=S(=O)([O-])[O-].[Na+].[Na+],0,0,11,142.04,-7.33,80.26,0,4,0,0
CNCCO,0,0,12,75.11,-0.8,32.26,2,2,2,0
CCOC(C)(C)C,0,0,10,102.18,1.82,9.23,0,1,1,0
COC=O,0,0,10,60.05,-0.21,26.3,0,2,1,0
COC(=O)CCC[N+](C)(C)C,0,0,10,160.24,0.65,26.3,0,2,4,0
CC(CC=O)CCCC(C)(C)O,0,0,12,172.27,2.15,37.3,1,2,6,0
CC(C)COC(=O)CCCCC(=O)OCC(C)C,0,0,12,258.36,2.95,52.6,0,4,9,0
CCN(O)CC,0,0,9,89.14,0.72,23.47,1,2,2,0
C=CC(=O)NC(C)C,0,0,12,113.16,0.7,29.1,1,1,2,0
[O-][Cl+3]([O-])([O-])[O-],1,1,12,99.45,-4.76,92.24,0,4,0,0
CCN(C)N=O,0,0,11,88.11,0.62,32.67,0,2,2,0
CCCCCO,0,0,11,88.15,1.17,20.23,1,1,3,0
CCCN(CCC)N=O,0,0,12,130.19,1.79,32.67,0,2,5,0
C[N+](C)(C)C,1,1,12,74.15,0.32,0.0,0,0,0,0
C=C(C)C(=O)OC(C)C,0,0,11,128.17,1.51,26.3,0,2,2,0
CCCC[N+](CCCC)(CCCC)CCCC,0,0,12,242.47,5.0,0.0,0,0,12,0
CC(=O)CC(=O)OC(C)(C)C,0,0,11,158.2,1.31,43.37,0,3,2,0
N=C(N)NN,1,1,12,74.09,-1.66,87.92,4,2,0,0
OCCSSCCO,0,0,11,154.26,0.35,40.46,2,4,5,0
ClCCCCCCCl,0,0,12,155.07,3.02,0.0,0,0,5,0
[Ba+2],1,1,12,137.33,-0.38,0.0,0,0,0,0
C=CCCC,0,0,12,70.13,1.97,0.0,0,0,2,0
CCOC(=O)CP(=O)(OCC)OCC,0,0,11,224.19,1.82,61.83,0,5,7,0
O=C(O)COCC(=O)O,0,0,12,134.09,-0.83,83.83,2,3,4,0
CCCCC,0,0,9,72.15,2.2,0.0,0,0,2,0
N#CC(C#N)=C(C#N)C#N,1,1,11,128.09,0.38,95.16,0,4,0,0
C[N+](C)(C)CC(=O)[O-],0,0,12,117.15,-1.56,40.13,0,2,2,0
CN(CCO)CCO,0,0,11,119.16,-1.1,43.7,2,3,4,0
C=CC(=O)NCNC(=O)C=C,1,1,9,154.17,-0.45,58.2,2,2,4,0
N#CSCSC#N,1,5,7,130.2,1.37,47.58,0,4,2,0
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,1,1,2,399.71,10.11,0.0,0,0,22,0
CCCCS,0,0,11,90.19,1.72,0.0,1,1,2,0
C[S+](C)CCC(N)C(=O)O,0,0,10,164.25,-0.33,63.32,2,2,4,0
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OCC(O)CO,0,0,11,372.55,3.89,86.99,3,5,18,0
CCCCCCCC(=O)OCC(O)CO,0,0,12,218.29,1.24,66.76,2,4,9,0
CCCCCCCCCCCCCC(=O)OCC(O)CO,0,0,10,302.45,3.58,66.76,2,4,15,0
C=CCN(CC=C)C(=O)C(Cl)Cl,0,0,12,208.09,1.99,20.31,0,1,5,0
CCCCCCCCCCCCCCCCO,1,1,12,242.45,5.46,20.23,1,1,14,0
C=CC(=O)OC,0,0,11,86.09,0.35,26.3,0,2,1,0
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OC,0,0,11,312.49,5.17,46.53,1,3,15,0
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0,0,11,236.54,3.39,18.46,0,2,4,0
C[CH2][Sn]([Br])([CH2]C)[CH2]C,1,7,9,285.8,3.39,0.0,0,0,3,0
CCC(CO)(CO)COCC(CC)(CO)CO,0,0,12,250.33,-0.24,90.15,4,5,10,0
C=C(C)C(=O)OCCCCOC(=O)C(=C)C,0,0,11,226.27,2.01,52.6,0,4,7,0
CCCCCCCCCCCC(=O)N(CC)CC,0,0,12,255.45,4.78,20.31,0,1,12,0
N#CCCOCCOCCC#N,0,0,11,168.2,0.85,66.04,0,4,7,0
C=CC(=O)OCCCCCCCCCC,0,0,12,212.33,3.86,26.3,0,2,10,0
CN(C)CCN(C)CCO,0,0,12,146.23,-0.53,26.71,1,3,5,0
CCOP(=O)(OCC)OCC,1,1,12,182.16,2.2,44.76,0,4,6,0
CC(=O)OCCOCCOCCOC(C)=O,0,0,12,234.25,0.15,71.06,0,6,9,0
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,0,12,464.11,5.38,20.23,1,1,8,0
NNCCO,0,0,11,76.1,-1.56,58.28,3,3,2,0
CCOP(=S)(OCC)SCSCC,1,1,11,260.39,3.73,18.46,0,5,8,0
C=CC(=O)OCCN(C)C,0,0,11,143.19,0.28,29.54,0,3,4,0
CCOCC(C)O,0,0,11,104.15,0.4,29.46,1,2,3,0
CN(C)CCCN,0,0,12,102.18,-0.1,29.26,1,2,3,0
COC(C)OC,0,0,11,90.12,0.63,18.46,0,2,2,0
C=CC(=O)OCC,0,0,12,100.12,0.74,26.3,0,2,2,0
CC(C)N(CCO)C(C)C,0,0,11,145.25,1.1,23.47,1,2,4,0
CCC(C)=NO,0,0,12,87.12,1.25,32.59,1,2,1,0
CCC(=O)CC,0,0,12,86.13,1.38,17.07,0,1,2,0
CCCC(C)CC,0,0,12,100.2,2.83,0.0,0,0,3,0
CCOP(=O)([O-])C(N)=O,0,0,10,152.07,-0.34,92.45,1,4,3,0
C=C(C)C(=O)OCCN(C)C,0,0,12,157.21,0.67,29.54,0,3,4,0
CCCOCCO,0,0,12,104.15,0.41,29.46,1,2,4,0
COC(=O)CCS,0,0,12,120.17,0.48,26.3,1,3,2,0
N=C(N)NN.N=C(N)NN,0,0,11,148.17,-3.31,175.84,8,4,0,0
CCCCCCC#CC(=O)OC,0,0,11,168.24,2.13,26.3,0,2,4,0
CCCCCC/C=C/C(=O)OC,0,0,12,170.25,2.69,26.3,0,2,6,0
CCCCCCCC(=O)OCCCCCC,0,0,12,228.38,4.47,26.3,0,2,11,0
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,0,0,12,310.52,6.59,26.3,0,2,16,0
C/C=C/C=C/CO,0,0,11,98.14,1.11,20.23,1,1,2,0
O=C(O)CCCCCCC(=O)O,0,0,11,174.2,1.5,74.6,2,2,7,0
CCCCCCCCCCCCCBr,0,0,11,263.26,5.69,0.0,0,0,11,0
CCCCOC(O)CC,0,0,12,132.2,1.53,29.46,1,2,5,0
CCCCCCCCCCCCOS(=O)(=O)[O-],0,0,12,265.39,3.38,66.43,0,4,12,0
CCCCC(CC)COS(=O)(=O)[O-],0,0,12,209.29,1.68,66.43,0,4,7,0
CC(C)(CO)[C@@H](O)C(=O)NCCCO,0,0,12,205.25,-1.14,89.79,4,4,6,0
C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,0,0,12,236.35,4.19,26.3,0,2,6,0
CCCCCOC(=O)CCCC,0,0,11,172.27,2.91,26.3,0,2,7,0
CC(C)=CC(=O)O,1,1,12,100.12,1.04,37.3,1,1,1,0
CCCCCCCCC(=O)Cl,0,0,11,176.69,3.5,17.07,0,1,7,0
CCCCCC(C)N.CCCCCC(C)N,0,0,2,230.44,3.83,52.04,2,2,8,0
CC=CC=CCOC(=O)C(C)C,1,1,9,168.24,2.32,26.3,0,2,4,0
CC/C=C\CCOC(C)OCC,0,0,11,172.27,2.74,18.46,0,2,7,0
COC(=O)C(Cl)C(=O)OC,1,1,12,166.56,-0.06,52.6,0,4,2,0
NCCC[C@H](N)C(=O)O,0,0,9,132.16,-0.86,89.34,3,3,4,0
CC(C)(C)N,0,0,12,73.14,0.74,26.02,1,1,0,0
NCCOCCO,0,0,12,105.14,-1.05,55.48,2,3,4,0
C=CCCCCCCCCC=O,0,0,12,168.28,3.49,17.07,0,1,9,0
NCCOS(=O)(=O)O,0,0,12,141.15,-1.24,89.62,2,4,3,0
[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O,1,1,12,173.13,-1.76,126.02,2,4,4,0
COP(=O)(OC)OC=C(Cl)Cl,1,1,12,220.98,2.68,44.76,0,4,4,0
CC(Cl)CCl,0,0,12,112.99,1.85,0.0,0,0,1,0
CC(C)N(C)C,0,0,11,87.17,0.96,3.24,0,1,1,0
CN(C)CCCNCCCN,1,1,10,159.28,-0.12,41.29,2,3,7,0
[Cl][Pd][Cl],0,0,11,177.33,1.38,0.0,0,0,0,0
ClC=CCl,0,0,12,96.94,1.94,0.0,0,0,0,0
CCCCCCCC/C=C/CCCOC(C)=O,1,1,12,240.39,4.64,26.3,0,2,11,0
O=S(=O)([O-])CCCS(=O)(=O)[O-],0,0,10,202.21,-1.53,114.4,0,6,4,0
[TlH2+],1,1,10,206.4,-0.92,0.0,0,0,0,0
C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC,0,0,11,338.58,7.37,26.3,0,2,18,0
CC(C)OP(C)(=O)OC(C)C,0,0,12,180.18,2.66,35.53,0,3,4,0
COS(=O)(=O)OC,0,0,12,126.13,-0.48,52.6,0,4,2,0
CNC,0,0,12,45.09,-0.16,12.03,1,1,0,0
CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,0,0,12,396.7,9.01,26.3,0,2,22,0
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C,1,1,12,508.92,12.13,26.3,0,2,30,0
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-],0,0,12,218.23,-2.38,109.69,3,5,6,0
CCCCC(CC)CNC(=O)CC(C)OC(=O)CCC(=O)O,0,0,2,315.41,2.51,92.7,2,4,12,0
CC(=O)NC(CCC(N)=O)C(=O)O,0,0,12,188.18,-1.16,109.49,3,3,5,0
CCC(CN)CC(C)CCNCC(O)CNCC(C)CC(CC)CN,0,0,10,358.62,1.94,96.33,5,5,17,0
O=P([O-])([O-])OC(CO)CO,0,0,10,170.06,-2.82,112.88,2,6,4,0
CCCCCCCCP(=O)(O)O,0,0,11,194.21,2.52,57.53,2,1,7,0
COCCOCC(OC)OC,0,0,2,164.2,0.27,36.92,0,4,7,0
C=C(Cl)CCl,0,0,12,110.97,1.98,0.0,0,0,1,0
OC(CCl)CCl,0,0,12,128.99,0.82,20.23,1,1,2,0
[Cl][Ba][Cl],1,1,12,208.23,1.0,0.0,0,0,0,0
O=C(O)CP(=O)(O)O,0,0,12,140.03,-0.75,94.83,3,2,2,0
O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],0,0,12,190.11,-3.92,137.79,2,6,5,0
NCCCCCC(=O)O,0,0,2,131.18,0.59,63.32,2,2,5,0
CCNP(=S)(OC)O/C(C)=C/C(=O)OC(C)C,1,1,11,281.31,2.34,56.79,1,5,7,0
CC(C)=CCCC(C)=CC=O,0,0,12,152.24,2.88,17.07,0,1,4,0
ClC(Cl)Cl,0,0,11,119.38,1.99,0.0,0,0,0,0
COC(=O)CCSCCC(=O)OC,1,1,12,206.26,0.85,52.6,0,5,6,0
CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,1,1,11,220.25,0.24,78.9,0,6,3,0
ClC(Br)Br,0,0,12,208.28,2.3,0.0,0,0,0,0
CC(C)(CCl)C(=O)Cl,0,0,7,155.02,2.02,17.07,0,1,2,0
NC(=O)NC(N)=O,0,0,12,103.08,-1.27,98.21,3,2,0,0
CC(C)CC(C)O,0,0,12,102.18,1.41,20.23,1,1,2,0
C=COCCCCO,0,0,12,116.16,0.92,29.46,1,2,5,0
NCC(=O)O,0,0,2,75.07,-0.97,63.32,2,2,1,0
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0,0,12,203.24,-1.24,66.43,0,4,5,0
CC(C)COP(=O)(OCC(C)C)OCC(C)C,0,0,10,266.32,4.11,44.76,0,4,9,0
C=CCCCCCCCCCCCC,0,0,12,196.38,5.48,0.0,0,0,11,0
NC(=O)[O-],0,0,12,60.03,-1.71,66.15,1,2,0,0
CC(C)(CO)COC(=O)C(C)(C)CO,0,0,12,204.27,0.57,66.76,2,4,5,0
NC(=O)N=NC(N)=O,0,0,11,116.08,-0.4,110.9,2,2,0,0
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0,0,12,260.76,4.76,0.0,0,0,1,0
CCOC(=O)CC(C)=O,0,0,12,130.14,0.53,43.37,0,3,3,0
CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,1,1,12,340.5,5.06,52.6,0,4,14,0
CC(C)(O)C#CC(C)(C)O,0,0,12,142.2,0.53,40.46,2,2,0,0
CC(=O)[O-].CC(=O)[O-].[Mg+2],1,1,11,142.39,-2.87,80.26,0,4,0,0
O=C(O)CNCC(=O)O,0,0,12,133.1,-1.25,86.63,3,3,4,0
CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,0,0,10,338.58,7.37,26.3,0,2,18,0
ClC(Cl)(Cl)C(Cl)(Cl)Cl,0,0,9,236.74,3.73,0.0,0,0,0,0
C=CCCC(=O)O,0,0,11,100.12,1.04,37.3,1,1,3,0
CN=C=O,0,0,11,57.05,-0.05,29.43,0,2,0,0
[Na][I],0,0,12,149.89,0.5,0.0,0,0,0,0
C[N+](C)(C)CC(=O)O,0,0,12,118.16,-0.22,37.3,1,1,2,0
CCCC[N+](C)(CCCC)CCCC,0,0,12,200.39,3.83,0.0,0,0,9,0
BrCCCCCBr,0,0,12,229.94,2.95,0.0,0,0,4,0
O=CNNC=O,0,0,12,88.07,-1.61,58.2,2,2,3,0
CCNC(=S)NCC,1,1,12,132.23,0.49,24.06,2,1,2,0
CCOC(=O)/C=C\C(=O)OCC,1,1,12,172.18,0.67,52.6,0,4,4,0
CCN(C=O)CC,0,0,12,101.15,0.48,20.31,0,1,3,0
OCCOCCO,0,0,12,106.12,-1.01,49.69,2,3,4,0
CC(C)(C)S,0,0,12,90.19,1.71,0.0,1,1,0,0
CCCCCCCC/C=C\CCCCCCCC(=O)O,0,0,12,282.47,6.11,37.3,1,1,15,0
C=CCCCCCC,0,0,11,112.22,3.14,0.0,0,0,5,0
CCOP(=O)(OCC)OP(=O)(OCC)OCC,0,0,10,290.19,3.37,80.29,0,7,10,0
O=C([O-])CF,0,0,12,77.03,-1.29,40.13,0,2,1,0
CCCCOCC(C)OCC(C)O,0,0,12,190.28,1.59,38.69,1,3,8,0
C=CC(=O)OCCOCC(CC)(COCCOC(=O)C=C)COCCOC(=O)C=C,1,4,8,428.48,1.62,106.59,0,9,19,0
C=CC(=O)OCCCCCC(C)C,1,1,12,184.28,2.93,26.3,0,2,7,0
Cl/C=C/Cl,0,0,12,96.94,1.94,0.0,0,0,0,0
